# H0	ombh2	omch2	tau	As	ns	chisq
6.846868089419528758e+01 2.255456260971673219e-02 1.170766659391524467e-01 5.813791975667623874e-02 2.105466201073394849e-09 9.717244959633546397e-01 2.583778368599680107e+03
6.846868089419528758e+01 2.255456260971673219e-02 1.170766659391524467e-01 5.813791975667623874e-02 2.105466201073394849e-09 9.717244959633546397e-01 2.583778368599680107e+03
6.846868089419528758e+01 2.255456260971673219e-02 1.170766659391524467e-01 5.813791975667623874e-02 2.105466201073394849e-09 9.717244959633546397e-01 2.583778368599680107e+03
6.846868089419528758e+01 2.255456260971673219e-02 1.170766659391524467e-01 5.813791975667623874e-02 2.105466201073394849e-09 9.717244959633546397e-01 2.583778368599680107e+03
6.846868089419528758e+01 2.255456260971673219e-02 1.170766659391524467e-01 5.813791975667623874e-02 2.105466201073394849e-09 9.717244959633546397e-01 2.583778368599680107e+03
6.885108245644576641e+01 2.274977978550464519e-02 1.173379303738114748e-01 8.934581610418791675e-02 2.246275750508835306e-09 9.719875129819071091e-01 2.585922704316725230e+03
6.885108245644576641e+01 2.274977978550464519e-02 1.173379303738114748e-01 8.934581610418791675e-02 2.246275750508835306e-09 9.719875129819071091e-01 2.585922704316725230e+03
6.885108245644576641e+01 2.274977978550464519e-02 1.173379303738114748e-01 8.934581610418791675e-02 2.246275750508835306e-09 9.719875129819071091e-01 2.585922704316725230e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
7.004843593164356719e+01 2.285500788343772932e-02 1.147386664254272520e-01 1.161798350884046260e-01 2.353749003275746229e-09 9.755951026180921248e-01 2.585525331816539165e+03
6.884994361756305636e+01 2.270921012262921632e-02 1.170914574060913094e-01 9.171040822441491047e-02 2.253048402076022433e-09 9.716348180460366857e-01 2.581940678192469932e+03
6.884994361756305636e+01 2.270921012262921632e-02 1.170914574060913094e-01 9.171040822441491047e-02 2.253048402076022433e-09 9.716348180460366857e-01 2.581940678192469932e+03
6.884994361756305636e+01 2.270921012262921632e-02 1.170914574060913094e-01 9.171040822441491047e-02 2.253048402076022433e-09 9.716348180460366857e-01 2.581940678192469932e+03
6.884994361756305636e+01 2.270921012262921632e-02 1.170914574060913094e-01 9.171040822441491047e-02 2.253048402076022433e-09 9.716348180460366857e-01 2.581940678192469932e+03
6.877857541146796905e+01 2.255655067791047935e-02 1.171707049114299598e-01 7.995206611603737634e-02 2.200929009521359076e-09 9.687535874952525328e-01 2.582280934789795083e+03
6.958629576429093788e+01 2.261370006104600552e-02 1.148542445609056495e-01 1.070927090775715684e-01 2.307373344934561304e-09 9.737186593500420928e-01 2.581976654233106274e+03
6.958629576429093788e+01 2.261370006104600552e-02 1.148542445609056495e-01 1.070927090775715684e-01 2.307373344934561304e-09 9.737186593500420928e-01 2.581976654233106274e+03
6.958629576429093788e+01 2.261370006104600552e-02 1.148542445609056495e-01 1.070927090775715684e-01 2.307373344934561304e-09 9.737186593500420928e-01 2.581976654233106274e+03
6.958629576429093788e+01 2.261370006104600552e-02 1.148542445609056495e-01 1.070927090775715684e-01 2.307373344934561304e-09 9.737186593500420928e-01 2.581976654233106274e+03
6.686716076733519287e+01 2.229554843476139192e-02 1.211876074102903739e-01 2.477409448473436027e-02 1.986693863121806228e-09 9.596749347998785318e-01 2.585757991102961569e+03
6.686716076733519287e+01 2.229554843476139192e-02 1.211876074102903739e-01 2.477409448473436027e-02 1.986693863121806228e-09 9.596749347998785318e-01 2.585757991102961569e+03
6.636816716991104670e+01 2.208218927553110347e-02 1.217199251289272782e-01 7.132889592142660495e-02 2.186099208922075017e-09 9.636479095887158230e-01 2.585400550919224770e+03
6.772023285862708519e+01 2.214092410594831889e-02 1.183186448991106338e-01 1.070446535196011156e-01 2.325177253670099028e-09 9.709463687630711659e-01 2.581339212801803569e+03
6.772023285862708519e+01 2.214092410594831889e-02 1.183186448991106338e-01 1.070446535196011156e-01 2.325177253670099028e-09 9.709463687630711659e-01 2.581339212801803569e+03
6.772023285862708519e+01 2.214092410594831889e-02 1.183186448991106338e-01 1.070446535196011156e-01 2.325177253670099028e-09 9.709463687630711659e-01 2.581339212801803569e+03
6.772023285862708519e+01 2.214092410594831889e-02 1.183186448991106338e-01 1.070446535196011156e-01 2.325177253670099028e-09 9.709463687630711659e-01 2.581339212801803569e+03
6.772023285862708519e+01 2.214092410594831889e-02 1.183186448991106338e-01 1.070446535196011156e-01 2.325177253670099028e-09 9.709463687630711659e-01 2.581339212801803569e+03
6.772023285862708519e+01 2.214092410594831889e-02 1.183186448991106338e-01 1.070446535196011156e-01 2.325177253670099028e-09 9.709463687630711659e-01 2.581339212801803569e+03
6.772023285862708519e+01 2.214092410594831889e-02 1.183186448991106338e-01 1.070446535196011156e-01 2.325177253670099028e-09 9.709463687630711659e-01 2.581339212801803569e+03
6.772023285862708519e+01 2.214092410594831889e-02 1.183186448991106338e-01 1.070446535196011156e-01 2.325177253670099028e-09 9.709463687630711659e-01 2.581339212801803569e+03
6.772023285862708519e+01 2.214092410594831889e-02 1.183186448991106338e-01 1.070446535196011156e-01 2.325177253670099028e-09 9.709463687630711659e-01 2.581339212801803569e+03
6.835496054453011538e+01 2.228625000269998310e-02 1.175003502357147289e-01 1.230979314254722345e-01 2.393102944777331794e-09 9.747407291622394165e-01 2.579707347219939038e+03
6.835496054453011538e+01 2.228625000269998310e-02 1.175003502357147289e-01 1.230979314254722345e-01 2.393102944777331794e-09 9.747407291622394165e-01 2.579707347219939038e+03
6.835496054453011538e+01 2.228625000269998310e-02 1.175003502357147289e-01 1.230979314254722345e-01 2.393102944777331794e-09 9.747407291622394165e-01 2.579707347219939038e+03
6.835496054453011538e+01 2.228625000269998310e-02 1.175003502357147289e-01 1.230979314254722345e-01 2.393102944777331794e-09 9.747407291622394165e-01 2.579707347219939038e+03
6.835496054453011538e+01 2.228625000269998310e-02 1.175003502357147289e-01 1.230979314254722345e-01 2.393102944777331794e-09 9.747407291622394165e-01 2.579707347219939038e+03
6.835496054453011538e+01 2.228625000269998310e-02 1.175003502357147289e-01 1.230979314254722345e-01 2.393102944777331794e-09 9.747407291622394165e-01 2.579707347219939038e+03
6.835496054453011538e+01 2.228625000269998310e-02 1.175003502357147289e-01 1.230979314254722345e-01 2.393102944777331794e-09 9.747407291622394165e-01 2.579707347219939038e+03
6.835496054453011538e+01 2.228625000269998310e-02 1.175003502357147289e-01 1.230979314254722345e-01 2.393102944777331794e-09 9.747407291622394165e-01 2.579707347219939038e+03
6.835496054453011538e+01 2.228625000269998310e-02 1.175003502357147289e-01 1.230979314254722345e-01 2.393102944777331794e-09 9.747407291622394165e-01 2.579707347219939038e+03
6.835496054453011538e+01 2.228625000269998310e-02 1.175003502357147289e-01 1.230979314254722345e-01 2.393102944777331794e-09 9.747407291622394165e-01 2.579707347219939038e+03
